story_id,clause_idx,clause_text,mode_label,top_count,Orientation,Action,Evaluation,Not Story,partition,narrators_gender
1,17,Like I was studying economics.,Action,3,0,3,0,0,val,Male
1,18,And so that was when I questioned myself the most.,Action,2,1,2,0,0,val,Male
1,19,"And I kind of really thought, what the heck am I doing?",Evaluation,2,0,1,2,0,val,Male
1,20,Take the time in your 20s to invest in yourself.,Evaluation,2,0,1,2,0,val,Male
1,21,"That can be formal education, that can just be experiences, that can be exposures.",Evaluation,2,0,1,2,0,val,Male
1,22,You're more likely to under-invest in your experiences than over-invest.,Evaluation,2,0,1,2,0,val,Male
2,0,from college at Brown University.,Orientation,3,3,0,0,0,val,Male
2,1,And we were driving in the car.,Orientation,2,2,1,0,0,val,Male
2,2,"And ah, my father was just making conversation and said, "" So, so what do you want "" to study? ''",Action,3,0,3,0,0,val,Male
2,3,I said,Action,3,0,3,0,0,val,Male
2,4,", um, "" Well, you know, "" I think I want to study philosophy. ''",Evaluation,2,0,1,2,0,val,Male
2,5,And my mother was a philosopher.,Orientation,3,3,0,0,0,val,Male
2,6,"So he pulled the car over, looked back at me, and said, "" When you finish your medical residency, "" you can do anything you want. ''",Action,2,1,2,0,0,val,Male
2,7,You know,Not Story,3,0,0,0,3,val,Male
2,8,", I think all immigrant families understand this to an extent, that your parents want you to do something safe.",Evaluation,2,0,1,2,0,val,Male
2,9,"Have a skill that no one can take away from you, no matter what.",Action,2,0,2,1,0,val,Male
2,10,So I ended up being able to do that which I most wanted to do anyway,Evaluation,2,0,1,2,0,val,Male
2,11,", but I went through it, through the sciences.",Action,3,0,3,0,0,val,Male
2,12,Following your dreams,Action,2,0,2,0,1,val,Male
2,13," is one thing, but you're going to be much better at following your dreams if you have some sort of skill.",Evaluation,2,0,1,2,0,val,Male
2,14,"And that paying your dues and getting some sort of, uh, rigorous training so that you actually know how to do something, uh, is very much worthwhile.",Evaluation,2,0,1,2,0,val,Male
3,0,"Before college, I was in a very traditional, like my dad's an engineer, my mom's a social worker.",Orientation,3,3,0,0,0,val,Female
3,1,They immigrated from India,Orientation,3,3,0,0,0,val,Female
3,2,", it was very traditional in that when I went to design school",Orientation,2,2,0,1,0,val,Female
3,3,", unlike you, Martha, I wasn't an outwardly very creative family.",Orientation,2,2,0,1,0,val,Female
3,4,So it was very new to me,Evaluation,2,1,0,2,0,val,Female
3,5,", I don't even understand what is beautiful in the design.",Evaluation,2,1,0,2,0,val,Female
3,6,And I was introverted,Orientation,3,3,0,0,0,val,Female
3,7,and I wasn't a communicator when I went through school or when I came out.,Orientation,2,2,0,1,0,val,Female
3,8,"And if you don't talk about your ideas or your passions, it's never gon na change.",Action,2,1,2,0,0,val,Female
3,9,I did pick Carnegie Mellon because at the time I was there,Orientation,1,1,1,1,0,val,Female
3,10,", Vivian was the Dean of the School of Architecture.",Orientation,2,2,0,1,0,val,Female
3,11,And she is a very strong environmentalist.,Evaluation,3,0,0,3,0,val,Female
3,12,"A lot of the ideas that she brought to this school were about passive design and architecture, like okay, how to use the sun?",Action,2,0,2,1,0,val,Female
3,13,So that was really inspiring to me,Evaluation,3,0,0,3,0,val,Female
3,14,", but I think it is important to surround yourself with people who you can learn from, someone who is in your community, that really helps you and you help them.",Evaluation,2,0,1,2,0,val,Female
4,0,two things I loved : new media and audio.,Evaluation,2,1,0,2,0,val,Female
4,1,And it was very easy to get.,Evaluation,2,0,1,2,0,val,Female
4,2,And they were very easy to listen to.,Evaluation,3,0,0,3,0,val,Female
4,3,And it was always like so passionate.,Evaluation,3,0,0,3,0,val,Female
4,4,"And so, Tom Merit, who's also one of my best friends, we decided early on that, "" Hey, we love doing podcasts.",Action,2,0,2,1,0,val,Female
4,5,""" We love doing a show together.",Evaluation,2,0,1,2,0,val,Female
4,6,"Let's start a new show "" based on this other thing we love, which is science fiction "" and fantasy. ''",Action,3,0,3,0,0,val,Female
4,7,"It's so easy now to do, to get started in this industry.",Evaluation,2,0,1,2,0,val,Female
4,8,And I'm not saying it's easy to succeed in the industry,Evaluation,2,0,1,2,0,val,Female
4,9,", but the barrier to entry for doing podcasts, for doing online video, for doing a blog or an online magazine is so low.",Evaluation,3,0,0,3,0,val,Female
4,10,"The only advice I tend to ever give is, "" If you want to work in this field "" or do anything remotely like what I'm doing, ah, start.",Action,2,0,2,1,0,val,Female
5,0,"So at Alchemy we are taking the concept of chemistry and science and turning them into game based learning tools for students and for instructors, but in a way that allows for experimentation and play.",Evaluation,2,1,0,2,0,val,Female
5,1,The path was going toward academic chemistry.,Evaluation,2,1,0,2,0,val,Female
5,2,I was good at chemistry,Evaluation,2,1,0,2,0,val,Female
5,3,", I was good at research and all that stuff.",Evaluation,2,1,0,2,0,val,Female
5,4,But I realized that I always liked working with young people.,Evaluation,3,0,0,3,0,val,Female
5,5,"So I actually, in 1994, went and worked at Detroit Country Day School, which is a private school.",Orientation,2,2,1,0,0,val,Female
5,6,"And started my job there and loved it, and raised my children.",Orientation,2,2,1,0,0,val,Female
5,7,They went through the school,Evaluation,1,1,1,1,0,val,Female
5,8,", they went to U of M. And after that I started sort of feeling like not as connected to my school as it used to be, because my kids were gone.",Orientation,2,2,0,1,0,val,Female
5,9,So I started to look for new things and that was the beginning of Alchemy.,Evaluation,2,1,0,2,0,val,Female
5,10,And if my learning tools can be shown to help students from everywhere get better.,Evaluation,2,0,1,2,0,val,Female
5,11,And there's like 50 % fail organic chemistry.,Evaluation,2,1,0,2,0,val,Female
5,12,"If I could cut that down to 40 %, I think that would be success.",Action,2,0,2,1,0,val,Female
5,13,"But, this is not an easy path, it's really hard.",Evaluation,3,0,0,3,0,val,Female
5,14,"But if you're solving a problem that you know needs to be solved, then the hurdles don't feel quite so high.",Evaluation,2,0,1,2,0,val,Female
6,0,"I have a very gradual retinitis pigmentosa, real gradual degeneration of the retina.",Orientation,3,3,0,0,0,val,Male
6,1,"So I went through all the phases of low vision and now to just about total, total blindness.",Orientation,2,2,1,0,0,val,Male
6,2,It started to become an issue when I was 21 and was diagnosed with this disability.,Orientation,3,3,0,0,0,val,Male
6,3,"And then, I was aware of what my future was going to be like, that I was gon na be going blind.",Evaluation,3,0,0,3,0,val,Male
6,4,So having a disability,Orientation,1,1,1,1,0,val,Male
6,5,is like playing a puzzle.,Evaluation,2,0,1,2,0,val,Male
6,6,"If you like puzzles, boy, having a disability is great, because you are You",Evaluation,3,0,0,3,0,val,Male
6,7," are always trying to figure out how to do something, how to make it work, how to find technology that work.",Evaluation,3,0,0,3,0,val,Male
6,8,You got ta make it work for you,Action,3,0,3,0,0,val,Male
6,9,", but you accepted this ability",Action,2,0,2,1,0,val,Male
6,10,", and I think it's very important for everybody to say, hey, I got a disability and get to work on having a great life.",Evaluation,2,0,1,2,0,val,Male
6,11,That's absolutely essential,Evaluation,2,0,1,2,0,val,Male
6,12,", and I see a lot of people that do not accept their disability.",Evaluation,2,1,0,2,0,val,Male
6,13,"They're waiting for a cure or something like this, and the wonderful advances in medicine.",Action,2,0,2,1,0,val,Male
6,14,That's great,Evaluation,3,0,0,3,0,val,Male
6,15,", but you can't build a life around hoping for something to come and cure you.",Evaluation,2,0,1,2,0,val,Male
6,16,You just have to figure out ways of making things work.,Action,2,0,2,1,0,val,Male
7,0,We are creating soft multi-layered forms that interact with environments.,Orientation,2,2,1,0,0,val,Female
7,1,And create a space in cities that open up our imagination and allow us to think about a different way of being.,Orientation,1,1,1,1,0,val,Female
7,2,So I had $ 300,Orientation,2,2,0,1,0,val,Female
7,3,and for graduation I got a plane ticket to Bali.,Action,2,1,2,0,0,val,Female
7,4,And I went off on my own and started walking through the rice fields until I found a little house to rent.,Orientation,2,2,1,0,0,val,Female
7,5,"I went as a painter, I shipped all my paints and they got lost",Orientation,3,3,0,0,0,val,Female
7,6,", and that is how I became a sculpture, because I had no paint.",Evaluation,1,1,1,1,0,val,Female
7,7,I was in a fishing village,Orientation,3,3,0,0,0,val,Female
7,8,", they had fishing twine, and began just experimenting, and from there I had this dream of bringing it back home.",Orientation,2,2,1,0,0,val,Female
7,9,I applied to seven art schools,Action,3,0,3,0,0,val,Female
7,10,and I was rejected by all seven.,Evaluation,2,1,0,2,0,val,Female
7,11,"And that turned out to be the luckiest thing ever in my life, because it forced me to have to learn how to teach myself.",Evaluation,2,1,0,2,0,val,Female
7,12,"The education to do what I do, there is no program.",Orientation,3,3,0,0,0,val,Female
7,13,"If I had gone to a program, it might have led me somewhere",Evaluation,2,0,1,2,0,val,Female
7,14,", but it wouldn't have been as authentic a direction.",Evaluation,3,0,0,3,0,val,Female
7,15,"Any kind of life where you're trying to do something new, and creative, your gon na hit rejections all the time.",Evaluation,2,0,1,2,0,val,Female
7,16,"My mom had a saying for that too, it's like just toughen up, let it come at me.",Orientation,1,1,1,1,0,val,Female
7,17,"Just because you're rejecting me from every single art school I've applied to, that doesn't mean you get to say that I'm not an artist.",Evaluation,2,0,1,2,0,val,Female
7,18,"The thing I had to teach myself after college, was how to hear my own voice, like honestly I just didn't even know it to recognize it.",Evaluation,2,0,1,2,0,val,Female
7,19,Making decisions is gon na happen to you your whole life,Action,2,0,2,1,0,val,Female
7,20,", they are always hard, you've got to figure out how to make them.",Evaluation,2,0,1,2,0,val,Female
7,21,And you have to listen to yourself,Evaluation,2,0,1,2,0,val,Female
7,22,", and so getting to know yourself is maybe the work of this phase of your life.",Evaluation,2,0,1,2,0,val,Female
8,0,"you know, heavy civil tunneling for-for railroads, for highway tunnels, for that kind of stuff.",Orientation,3,3,0,0,0,val,Male
8,1,"So at 20, I was going to school at Colorado State University, majoring in construction management.",Orientation,3,3,0,0,0,val,Male
8,2,"Someone that we were buying stuff from said, "" Hey",Orientation,2,2,1,0,0,val,Male
8,3,", I'm selling a bunch "" of tunneling stuff out to Napa Valley. ''",Orientation,2,2,1,0,0,val,Male
8,4,"I was like, "" Ne-never even heard of it, never",Orientation,2,2,0,1,0,val,Male
8,5,...,Not Story,3,0,0,0,3,val,Male
8,6," '' I mean, I never even drank wine",Evaluation,2,0,1,2,0,val,Male
8,7,", I drank beer.",Action,2,0,2,1,0,val,Male
8,8,So I-I didn't even have any idea where Napa Valley was.,Evaluation,2,1,0,2,0,val,Male
8,9,So we came out here,Action,3,0,3,0,0,val,Male
8,10,", and thank goodness there was another contractor digging a tunnel that was, they were in trouble.",Orientation,2,2,0,1,0,val,Male
8,11,We talked to them.,Action,3,0,3,0,0,val,Male
8,12,""" Sure, we can do that. ''",Orientation,1,1,1,1,0,val,Male
8,13,And we did,Action,3,0,3,0,0,val,Male
8,14,", and we, and we built a beautiful cave",Action,2,0,2,1,0,val,Male
8,15,", and it's just been going since then.",Evaluation,2,0,1,2,0,val,Male
8,16,"Right now, you guys have got nothing to lose.",Evaluation,3,0,0,3,0,val,Male
8,17,"And that's like when we started this company, my wife and I.",Orientation,3,3,0,0,0,val,Male
8,18,We sat down and talked,Action,3,0,3,0,0,val,Male
8,19,", we were still young enough that if we lost everything, so what?",Action,2,0,2,1,0,val,Male
8,20,I just have to go get a job,Action,1,1,1,1,0,val,Male
8,21,", that's where I came from anyhow.",Orientation,2,2,0,1,0,val,Male
9,0,I was the first one to go to college in my family.,Orientation,3,3,0,0,0,val,Female
9,1,"As an undergraduate, I found a passion for science",Orientation,3,3,0,0,0,val,Female
9,2," and I focused all my attention on biology, neuroscience.",Action,2,1,2,0,0,val,Female
9,3,"And then all of a sudden, my passion shifted from doing research, research, research to understanding how do I get my invention to the market.",Orientation,2,2,0,1,0,val,Female
9,4,And then I did an internship with an investment firm and so after doing that,Action,3,0,3,0,0,val,Female
9,5,", well, okay?",Not Story,2,0,0,1,2,val,Female
9,6,I know how they get funded,Orientation,2,2,0,1,0,val,Female
9,7,", I really",Action,1,1,1,1,0,val,Female
9,8,", really like the startup environment.",Evaluation,2,1,0,2,0,val,Female
9,9,I'm gon na jump into a startup company that I'm really passionate about,Action,3,0,3,0,0,val,Female
9,10,", and I met the CEO of Recovery Force.",Action,3,0,3,0,0,val,Female
9,11,So I was brought onto Recovery Force to help promote the research and support the research through funding through the National Institute of Health.,Action,2,1,2,0,0,val,Female
9,12,"And like I say, it wasn't a straight road, what I thought I was gon na be doing today was not what I originally planned 10 or 15 years ago.",Evaluation,3,0,0,3,0,val,Female
9,13,There's so many avenues into every type of career path.,Evaluation,3,0,0,3,0,val,Female
9,14,"You have to figure out what is best for you, cuz you can go political",Evaluation,2,0,1,2,0,val,Female
9,15,", you can go into academics",Action,2,0,2,1,0,val,Female
9,16,", you can stay.",Action,2,0,2,1,0,val,Female
9,17,There's so many areas where you can provide value.,Evaluation,2,1,0,2,0,val,Female
10,0,I gre up in Nigeria.,Orientation,3,3,0,0,0,val,Female
10,1,But we came from a very entrepreneurial family.,Orientation,3,3,0,0,0,val,Female
10,2,And that meant that people were doers.,Evaluation,2,1,0,2,0,val,Female
10,3,"And I believe in life, that you actually have the capacity to do whatever it is you want to do.",Action,2,0,2,1,0,val,Female
10,4,Nobody else is going to do it.,Evaluation,2,0,1,2,0,val,Female
10,5,There are so many things you see in life that you feel like there's injustice.,Evaluation,2,1,0,2,0,val,Female
10,6,But often times you just relax and say somebody else is gon na do it.,Action,3,0,3,0,0,val,Female
10,7,Well that's somebody else is you.,Evaluation,2,1,0,2,0,val,Female
10,8,And you seem very controlled about your own life and very driven.,Action,1,0,1,1,1,val,Female
10,9,So I'm wondering was there a time when you were less sure about yourself?,Not Story,1,0,1,1,1,val,Female
10,10,Yes.,Evaluation,2,0,0,2,1,val,Female
10,11,Okay.,Not Story,3,0,0,0,3,val,Female
10,12,Oh yeah.,Not Story,2,0,0,1,2,val,Female
10,13,Tell me about that.,Action,2,0,2,0,1,val,Female
10,14,Computer scientists know nothing ever works the first time,Evaluation,2,1,0,2,0,val,Female
10,15,", that's the beauty of it.",Evaluation,2,1,0,2,0,val,Female
10,16,It's a problem solving thing,Evaluation,2,1,0,2,0,val,Female
10,17,", and so failure is built into the act of learning.",Evaluation,2,1,0,2,0,val,Female
10,18,"You have to like trip and trip, and trip, and trip.",Action,3,0,3,0,0,val,Female
10,19,"And then, once you figure out all the ways you can trip, you finally learn how to walk.",Action,2,0,2,1,0,val,Female
10,20,It's little baby steps to build that muscle of courage and confidence.,Action,2,0,2,1,0,val,Female
10,21,"Just take a deep breath, and just tell your feet to move",Action,3,0,3,0,0,val,Female
10,22,", and your feet will move.",Evaluation,2,0,1,2,0,val,Female
11,0,So you're secretly writing your songs.,Action,2,1,2,0,0,val,Male
11,1,"Like in the beginning, well, during filming yourself, you just think",Orientation,2,2,1,0,0,val,Male
11,2,", okay.",Evaluation,3,0,0,3,0,val,Male
11,3,I hope one day,Evaluation,2,0,1,2,0,val,Male
11,4,", I could perform on stage.",Action,2,0,2,1,0,val,Male
11,5,Or is it just.,Evaluation,2,0,0,2,1,val,Male
11,6,"I mean, I just",Evaluation,2,0,0,2,1,val,Male
11,7,", it was therapy.",Evaluation,3,0,0,3,0,val,Male
11,8,"Like, I never been to a therapist.",Orientation,2,2,0,1,0,val,Male
11,9,Yeah.,Evaluation,1,0,1,1,1,val,Male
11,10,"So instead, I would, you know, have an awful end to a relationship and pick up a guitar.",Action,2,0,2,1,0,val,Male
11,11,And to me song writing was always like personal diary as opposed to,Evaluation,2,0,1,2,0,val,Male
11,12,", there are some people who, music to them is a way to fill their ego, and I just never felt that way.",Evaluation,2,1,0,2,0,val,Male
11,13,I was shocked that any body even wanted to buy anything.,Evaluation,3,0,0,3,0,val,Male
11,14,But I did.,Action,2,0,2,1,0,val,Male
11,15,Cuz I would literally like record a song and put it on a tape,Action,2,0,2,1,0,val,Male
11,16,", and once it was done",Action,2,1,2,0,0,val,Male
11,17,", I'd throw it on a shelf and start the next song.",Action,2,0,2,1,0,val,Male
11,18,"And it was about songs, as opposed to selling the songs or performing or anything like that.",Evaluation,1,1,1,1,0,val,Male
11,19,"It was just really, really intimate, personal things.",Evaluation,3,0,0,3,0,val,Male
11,20,"So I think that's, when I first started playing out, that was the fear to me was kinda breaking out",Evaluation,1,1,1,1,0,val,Male
11,21,", you know, all this really personal stuff, and getting on stage and saying it.",Action,3,0,3,0,0,val,Male
11,22,Right.,Not Story,2,0,1,0,2,val,Male
11,23,And hoping I,Action,2,0,2,1,0,val,Male
11,24,don't make a fool out of my self.,Evaluation,2,0,1,2,0,val,Male
12,0,a few record deals and we had,Orientation,3,3,0,0,0,val,Male
12,1,", we'd been touring across the country.",Orientation,2,2,1,0,0,val,Male
12,2,And we had a deal with a network to do a television show based on The Aquabats.,Orientation,3,3,0,0,0,val,Male
12,3,"Just going to a network with it, we were going to end up in this kind of development again",Orientation,2,2,1,0,0,val,Male
12,4,", so we were like, "" Okay, that's it.",Action,2,1,2,0,0,val,Male
12,5,""" We're doing it ourselves. ''",Action,3,0,3,0,0,val,Male
12,6,We were just naive about it.,Evaluation,3,0,0,3,0,val,Male
12,7,"Like, "" Let's put it on the internet. ''",Action,3,0,3,0,0,val,Male
12,8,So we put a trailer on the internet.,Action,3,0,3,0,0,val,Male
12,9,"And sure enough, we had like two million hits in like...",Orientation,3,3,0,0,0,val,Male
12,10,a week.,Orientation,3,3,0,0,0,val,Male
12,11,"While you're young, you can take chances.",Evaluation,3,0,0,3,0,val,Male
12,12,"But once you get, you know, start having kids",Evaluation,2,0,1,2,0,val,Male
12,13,", you need to have a steady income.",Evaluation,2,0,1,2,0,val,Male
12,14,It's hard.,Evaluation,3,0,0,3,0,val,Male
12,15,It was tough.,Evaluation,3,0,0,3,0,val,Male
12,16,That's what our culture is losing.,Evaluation,3,0,0,3,0,val,Male
12,17,"We're losing the like, "" Make things tough on yourself "" so that you're stronger. ''",Evaluation,3,0,0,3,0,val,Male
13,0,a trial court judge who had to have a very analytical mind.,Orientation,2,2,0,1,0,val,Female
13,1,"Practice law, former prosecutor, former attorney general.",Orientation,3,3,0,0,0,val,Female
13,2,"But you know how you keep waking up thinking, "" There is something else ''?",Action,2,0,2,1,0,val,Female
13,3, Right.,Not Story,2,0,0,1,2,val,Female
13,4," I thought that the judgeship, that being a judge, was it.",Evaluation,3,0,0,3,0,val,Female
13,5,I know now in my heart,Evaluation,3,0,0,3,0,val,Female
13,6,", it's not a thing.",Evaluation,3,0,0,3,0,val,Female
13,7,It is constantly evolving and keeping your heart open.,Evaluation,2,0,1,2,0,val,Female
13,8,Because look!,Action,2,0,2,1,0,val,Female
13,9,I'm a television personality.,Orientation,2,2,0,1,0,val,Female
13,10,I'm a minister.,Orientation,3,3,0,0,0,val,Female
13,11,Tapping into your purpose,Action,2,0,2,1,0,val,Female
13,12,takes a great deal of discipline.,Evaluation,2,0,1,2,0,val,Female
13,13,Because you have to ask the question every day that you open your eyes.,Evaluation,2,0,1,2,0,val,Female
14,0,"And so I had kind of just spent three years, three-four years, um, just kind of working service jobs.",Orientation,3,3,0,0,0,val,Male
14,1,I finally enrolled back in college,Action,3,0,3,0,0,val,Male
14,2,", but I really didn't know what I wanted to do.",Evaluation,2,0,1,2,0,val,Male
14,3,And so I ended up,Action,3,0,3,0,0,val,Male
14,4,", you know, I mean, basically partying my one year in college away.",Action,2,1,2,0,0,val,Male
14,5,You know,Not Story,2,0,1,0,2,val,Male
14,6,", my grades were so bad",Evaluation,2,1,0,2,0,val,Male
14,7,", I wasn't invited to go back.",Orientation,1,1,1,1,0,val,Male
14,8,"I think, just kind of at the back of my mind",Evaluation,2,0,1,2,0,val,Male
14,9,", I had always wanted to do something that was creative.",Evaluation,2,0,1,2,0,val,Male
14,10,"But, you know, when you're growing up on the reservation, I mean, you can be creative, but you probably won't get paid for it.",Evaluation,1,1,1,1,0,val,Male
14,11,"'Cause when I started doing radio, I absolutely loved it",Evaluation,2,0,1,2,0,val,Male
14,12," and, you know",Not Story,2,0,1,0,2,val,Male
14,13,", I just ran with it.",Action,3,0,3,0,0,val,Male
14,14,I tried to do the best job that I could.,Action,3,0,3,0,0,val,Male
14,15,It was while I was doing that job that I stumbled onto the idea for the first documentary that I worked on.,Orientation,2,2,1,0,0,val,Male
14,16,I mean,Not Story,2,0,1,0,2,val,Male
14,17,", I kind of just went with the film thing from there.",Action,2,0,2,1,0,val,Male
14,18,I think you just know when you discover what it is that you want to do.,Evaluation,2,0,1,2,0,val,Male
15,0,Chicago is one of the most segregated cities in the world.,Orientation,3,3,0,0,0,val,Male
15,1,So when people talk about gang issues or what have you,Orientation,1,1,1,1,0,val,Male
15,2,", you can't talk about that without talking about hyper segregation, marginalization and disinvestment.",Orientation,1,1,1,1,0,val,Male
15,3,"For me, the driving force is what is that story that we don't talk about?",Evaluation,2,1,0,2,0,val,Male
15,4,What are those things that have gone missing and now what is the responsibility to work with others in bringing those things back.,Orientation,1,1,1,1,0,val,Male
15,5,To get to that level of critical thinking,Action,2,0,2,1,0,val,Male
15,6,", I mean you got ta start asking questions first.",Action,3,0,3,0,0,val,Male
15,7,What was the moment when you started asking those questions?,Action,2,0,2,1,0,val,Male
15,8,Kindergarten.,Orientation,3,3,0,0,0,val,Male
15,9,Kindergarten?,Orientation,2,2,0,0,1,val,Male
15,10,"Any type of tangible critical analysis, forthright change, is directed by people who have found those conditions intolerable and are working to change those conditions.",Evaluation,2,0,1,2,0,val,Male
15,11,So that piece I think really accounted for my education.,Orientation,2,2,0,1,0,val,Male
15,12,So we have to be able to perpetually ask questions.,Action,3,0,3,0,0,val,Male
15,13,Think and create and find a community of folks that you can think and create with.,Action,2,0,2,1,0,val,Male
15,14,Yes.,Evaluation,2,0,0,2,1,val,Male
15,15,I think that's critical in this day and age.,Evaluation,3,0,0,3,0,val,Male
15,16,Yes.,Evaluation,2,0,0,2,1,val,Male
16,0,being anxious about my future.,Evaluation,2,0,1,2,0,val,Male
16,1,I think I started to make plans or,Action,2,1,2,0,0,val,Male
16,2,...,Not Story,3,0,0,0,3,val,Male
16,3,to really think of what I'm going to do by the time,Evaluation,3,0,0,3,0,val,Male
16,4,I was 30.,Orientation,2,2,0,1,0,val,Male
16,5,"I run into students or young designers who say, "" Oh, you know",Orientation,2,2,1,0,0,val,Male
16,6,", like, I really wanted to study art, "" but my parents said, ` Oh",Evaluation,2,1,0,2,0,val,Male
16,7,", you'll never make any money '' ` with that",Evaluation,3,0,0,3,0,val,Male
16,8,", ' so I studied graphic design instead",Orientation,2,2,1,0,0,val,Male
16,9,. '',Not Story,3,0,0,0,3,val,Male
16,10,And I think that almost always is a mistake.,Evaluation,3,0,0,3,0,val,Male
16,11,"Because, uh, if you don't have the passion for it, you're not gon na be a great graphic designer.",Evaluation,3,0,0,3,0,val,Male
16,12,"So I really think that, that figuring out what you have passion at",Evaluation,3,0,0,3,0,val,Male
16,13,and pursuing that,Action,3,0,3,0,0,val,Male
16,14,is a very very worthwhile thing.,Evaluation,2,0,1,2,0,val,Male
17,0,"When I was very little, my parents knew there was something going on.",Orientation,3,3,0,0,0,val,Male
17,1,"They saw some of the anxiety, some of the motoric skills.",Orientation,3,3,0,0,0,val,Male
17,2,But they didn't realize the complexity of what dyspraxia was.,Evaluation,2,1,0,2,0,val,Male
17,3,Can you talk a little bit more about how that felt?,Evaluation,1,0,1,1,1,val,Male
17,4,"Sure, sure, I felt very isolated and very confused.",Evaluation,3,0,0,3,0,val,Male
17,5,"And as I hit your age, there were stages when I didn't want to live.",Evaluation,2,1,0,2,0,val,Male
17,6,I thought no one believes me,Evaluation,3,0,0,3,0,val,Male
17,7,", I want to end my life",Action,2,0,2,1,0,val,Male
17,8,", I want to die.",Action,2,0,2,1,0,val,Male
17,9,"And I was very lost, very confused what I wanted to do.",Evaluation,2,1,0,2,0,val,Male
17,10,"So I decided after working in a summer camp when I was around 18, I met adults from the UK, New Zealand, Australia that understood my struggles.",Orientation,2,2,1,0,0,val,Male
17,11,"And as I got involved and situated, I got connected to the top experts in the UK.",Orientation,2,2,0,1,0,val,Male
17,12,I would literally stay at their homes,Orientation,2,2,1,0,0,val,Male
17,13,and they would teach me about dyspraxia,Action,2,1,2,0,0,val,Male
17,14,", and I just felt so proud of myself.",Evaluation,3,0,0,3,0,val,Male
17,15,"For the first time I felt confident, because I met the right people and the mentors to guide me and assist me.",Evaluation,3,0,0,3,0,val,Male
17,16,"In meeting other adults like myself, I knew through their teaching, their experience and their guidance of what I was living with.",Evaluation,3,0,0,3,0,val,Male
17,17,"A, I wasn't alone and B",Evaluation,2,1,0,2,0,val,Male
17,18,", I had talents and gifts.",Evaluation,2,1,0,2,0,val,Male
17,19,"I learned from some of the patients at the development how I can do things because I had people in school, 18 through 21 saying I couldn't.",Orientation,2,2,0,1,0,val,Male
17,20,And now I know I can.,Evaluation,3,0,0,3,0,val,Male
18,0,Well...,Not Story,3,0,0,0,3,val,Male
18,1,what's the chances of makin ' it?,Not Story,1,0,1,1,1,val,Male
18,2,About like hittin ' the lottery.,Evaluation,2,0,1,2,0,val,Male
18,3," [British accent] I mean, are you saying, "" Don't take the chance ''?",Not Story,1,1,0,1,1,val,Male
18,4," I say go to school and get all the degrees you can get, get into business, make all the money you can get.",Evaluation,2,0,1,2,0,val,Male
18,5,Then start a band or a night - club.,Action,3,0,3,0,0,val,Male
18,6,Don't do it the hard way like we,Evaluation,2,0,1,2,0,val,Male
18,7,did.,Action,1,0,1,1,1,val,Male
